               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.027642,            0.021131,           0.0047693,             0.97029,             0.97291,             0.99122,             0.68781,            0.024431,            0.014646,           0.0037318,           0.0030888,           0.0030888,           0.0030888
                  70,            0.026924,            0.021033,            0.004691,             0.96817,             0.97114,             0.99251,             0.70724,            0.022243,            0.014333,           0.0036934,           0.0029706,           0.0029706,           0.0029706
                  71,            0.024332,            0.019364,           0.0044133,              0.9746,             0.97462,             0.99055,              0.7027,            0.022393,            0.014117,           0.0036913,            0.002855,            0.002855,            0.002855
                  72,            0.025712,             0.02026,           0.0044141,             0.97843,             0.96942,             0.99118,              0.7104,            0.021819,            0.014138,           0.0035093,           0.0027419,           0.0027419,           0.0027419
                  73,            0.025083,             0.01994,           0.0043622,             0.96197,             0.98002,             0.99166,             0.70046,            0.022582,            0.014345,           0.0033476,           0.0026316,           0.0026316,           0.0026316
                  74,            0.024989,            0.020136,           0.0041334,             0.98085,             0.96794,             0.99175,             0.70098,            0.021833,            0.014187,           0.0033003,           0.0025241,           0.0025241,           0.0025241
                  75,            0.025886,            0.020885,           0.0041558,             0.96308,             0.97913,             0.99245,              0.6931,            0.023028,            0.014344,           0.0032849,           0.0024195,           0.0024195,           0.0024195
                  76,             0.02497,            0.019034,           0.0042078,             0.96958,             0.97533,             0.99251,             0.71182,             0.02185,            0.014162,           0.0033413,            0.002318,            0.002318,            0.002318
                  77,            0.024088,            0.019407,           0.0041807,             0.96928,             0.97675,             0.99245,             0.72199,            0.022755,             0.01421,           0.0032252,           0.0022196,           0.0022196,           0.0022196
                  78,            0.024207,            0.020955,           0.0040786,             0.97136,             0.98169,             0.99249,             0.71825,            0.021493,            0.014122,           0.0031856,           0.0021245,           0.0021245,           0.0021245
                  79,            0.023916,            0.019203,           0.0039234,             0.97483,             0.97127,             0.99171,             0.71475,            0.021715,            0.013996,           0.0031867,           0.0020327,           0.0020327,           0.0020327
                  80,            0.023791,            0.020102,           0.0039193,             0.97072,             0.97345,             0.99145,             0.71928,            0.021225,             0.01382,           0.0031025,           0.0019443,           0.0019443,           0.0019443
                  81,             0.02386,            0.019792,           0.0040587,             0.96752,             0.97972,             0.99253,              0.7194,            0.021393,            0.013875,           0.0030581,           0.0018594,           0.0018594,           0.0018594
                  82,            0.023144,            0.019952,           0.0038498,             0.97118,             0.98184,             0.99303,             0.71886,            0.021327,            0.013646,           0.0029673,           0.0017781,           0.0017781,           0.0017781
                  83,             0.02333,            0.020209,            0.003733,             0.98002,             0.96743,             0.99298,             0.71779,            0.021439,            0.013769,           0.0028602,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02268,            0.018805,           0.0037942,             0.98185,              0.9713,             0.99294,             0.71599,            0.021444,            0.013719,           0.0027875,           0.0016267,           0.0016267,           0.0016267
                  85,            0.022954,            0.019315,           0.0036118,             0.97699,             0.97306,              0.9922,             0.72333,            0.021321,            0.013704,           0.0027114,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022469,            0.019902,           0.0037073,             0.97226,             0.97519,             0.99162,             0.71898,            0.021204,            0.013905,           0.0026686,           0.0014905,           0.0014905,           0.0014905
                  87,            0.022866,            0.019384,           0.0039544,             0.97656,             0.72181,             0.74488,             0.53692,            0.021444,             0.01373,           0.0026502,           0.0014283,           0.0014283,           0.0014283
                  88,            0.022086,            0.020619,           0.0035163,             0.97867,             0.96971,             0.99128,             0.72548,            0.021101,            0.013733,           0.0026255,           0.0013701,           0.0013701,           0.0013701
